class,wavelength,r_rs_b_mean,r_rs_b_sd
agar,464.6,0.0027152924729811163,0.0012072969371797785
agar,466.2,0.0027264531744626763,0.0012136355336054543
agar,467.8,0.002747982028795403,0.0012290244803558825
agar,469.3,0.0027676092836406755,0.00124661987830409
agar,470.9,0.002787382907331111,0.0012566562749610044
agar,472.5,0.0028084597598703916,0.0012610958401003917
agar,474.1,0.0028359425548810466,0.0012748173694965188
agar,475.7,0.002855143831067987,0.001293469579066727
agar,477.3,0.002885546283380356,0.0013019632350519015
agar,478.9,0.0029155936012859565,0.001318207825231343
agar,480.5,0.002939135264055146,0.0013251159078400325
agar,482,0.002959975288761868,0.001327757898469698
agar,483.6,0.0029706713291797436,0.0013373308242034026
agar,485.2,0.00298766514936394,0.0013488891237988891
agar,486.8,0.003001799101660935,0.0013554600508420716
agar,488.4,0.0030149754554316044,0.001366433270313991
agar,490,0.003025936308850415,0.001375485117804863
agar,491.5,0.0030272769554881515,0.0013884737890294463
agar,493.1,0.0030344723550926045,0.0013960008299434288
agar,494.7,0.003041644132447921,0.0014081601514205715
agar,496.3,0.0030505459661172695,0.0014212011955983385
agar,497.8,0.0030683502458566316,0.0014282515229804016
agar,499.4,0.0030859056809277923,0.0014409144733574868
agar,501,0.0031007475758156036,0.0014533700842218357
agar,502.6,0.0031222753929425755,0.001471831514128723
agar,504.1,0.003145945979892114,0.0014853161712703176
agar,505.7,0.003171459801516753,0.0015006484871286894
agar,507.3,0.0031997422785928556,0.0015151802294990494
agar,508.9,0.0032242686645846163,0.001532696372689404
agar,510.5,0.003253049011330854,0.0015502185937221805
agar,512,0.0032846523951859984,0.0015639167345828829
agar,513.6,0.0033108536497506993,0.0015772705798675272
agar,515.2,0.003341512639328495,0.001595910653167548
agar,516.7,0.0033745872737336972,0.0016039627410115787
agar,518.3,0.0034084058399543524,0.001616986047193785
agar,519.9,0.0034392382248492758,0.0016311318972971034
agar,521.5,0.0034712044372353507,0.0016435053510798238
agar,523,0.0035031734978592617,0.0016590318325897851
agar,524.6,0.0035349338162912122,0.0016705498769457163
agar,526.2,0.003567096823860991,0.0016869705651742393
agar,527.7,0.0036035034494364447,0.0017065202512007412
agar,529.3,0.0036422666825150713,0.001723488242483181
agar,530.8,0.003685003402738762,0.0017348841619933921
agar,532.4,0.003728614266432813,0.0017479636582410777
agar,534,0.0037713681583801573,0.0017684803388088497
agar,535.5,0.0038186327349946465,0.001780885736573295
agar,537.1,0.003867048598877063,0.0017951692625429378
agar,538.7,0.003920847748124558,0.001806769628009388
agar,540.2,0.0039748090271901435,0.0018212556680387822
agar,541.8,0.004038888098646084,0.0018423722009767716
agar,543.3,0.004106635743082674,0.001856249267774867
agar,544.9,0.004181557083739379,0.0018672844922651157
agar,546.5,0.004260523824166144,0.0018747603858127798
agar,548,0.004350425557214899,0.0018860017065498054
agar,549.6,0.004454022985897986,0.0018977508568012104
agar,551.2,0.004569637051968988,0.0019058831225722897
agar,552.7,0.004699646947239767,0.0019120136341110071
agar,554.3,0.004843356504083048,0.0019133841399477521
agar,555.8,0.004996905927663753,0.0019089500277034322
agar,557.4,0.005168546787842958,0.0019025162717927714
agar,558.9,0.005356290487484637,0.0018915154460894148
agar,560.5,0.005560703291766152,0.0018802637593663995
agar,562,0.005774248823099267,0.0018599004990993194
agar,563.6,0.006002409293028815,0.0018324626868512406
agar,565.1,0.006233345088965446,0.001797121233179203
agar,566.7,0.006464173343141042,0.0017653412216386084
agar,568.2,0.006691961393336408,0.001736457762373757
agar,569.8,0.006902002593217197,0.0017038907069990992
agar,571.3,0.007099017381722441,0.0016832560171272661
agar,572.9,0.007285974061135878,0.0016697085494366973
agar,574.4,0.007450577473221688,0.0016559923772630043
agar,576,0.007601503519979581,0.0016466661770192378
agar,577.5,0.007731329473343558,0.0016497576203514986
agar,579.1,0.007832558672192716,0.0016651558198704825
agar,580.6,0.007906090723586372,0.0016957828288215434
agar,582.2,0.007957524349859739,0.0017345827985622271
agar,583.7,0.007995521702797017,0.0017781124916696931
agar,585.2,0.008033977983552518,0.0018120189598002773
agar,586.8,0.008082837971081827,0.00184288785617642
agar,588.3,0.00814231225143165,0.0018645520148674697
agar,589.9,0.008234717027511653,0.0019000037913259398
agar,591.4,0.008351472370156987,0.0019489538195808667
agar,593,0.008504885729132078,0.0019860596027004487
agar,594.5,0.008693471381214873,0.0019939887380717304
agar,596,0.008919018403981571,0.0019924969327257333
agar,597.6,0.009147603905816403,0.0019728138596246014
agar,599.1,0.009370777370995247,0.0019539865646291347
agar,600.7,0.009546340410394195,0.0019360743650873315
agar,602.2,0.009646887221291058,0.0019389289162095237
